Cinq Semaines en ballon;Five Weeks in a Balloon;Jules Verne;1865
Voyages et aventures du capitaine Hatteras;The Adventures of Captain Hatteras;Jules Verne;1866
Voyage au centre de la Terre;Journey to the Center of the Earth;Jules Verne;1867
De la Terre a la Lune;From the Earth to the Moon;Jules Verne;1868
Les Enfants du capitaine Grant;In Search of the Castaways;Jules Verne;1868
Vingt Mille Lieues sous les mers;Twenty Thousand Leagues Under the Sea;Jules Verne;1871
Autour de la Lune;Around the Moon;Jules Verne;1872
Une Ville flottante;A Floating City;Jules Verne;1871
Aventures de trois Russes et de trois Anglais;The Adventures of Three Englishmen and Three Russians in South Africa;Jules Verne;1872
Le Pays des fourrures;The Fur Country;Jules Verne;1873
Le Tour du monde en quatre-vingts jours;Around the World in Eighty Days;Jules Verne;1873
L'Ile mysterieuse;The Mysterious Island;Jules Verne;1875
Le Chancellor;The Survivors of the Chancellor;Jules Verne;1875
Michel Strogoff;Michael Strogoff;Jules Verne;1876
Hector Servadac;Off on a Comet;Jules Verne;1877
Les Indes noires;The Child of the Cavern;Jules Verne;1877
Un Capitaine de quinze ans;Dick Sand, A Captain at Fifteen;Jules Verne;1878
Les Cinq Cents Millions de la Begum;The Begum's Fortune;Jules Verne;1879
Les Tribulations d'un Chinois en Chine;Tribulations of a Chinaman in China;Jules Verne;1879
La Maison a vapeur;The Steam House;Jules Verne;1880
La Jangada;Eight Hundred Leagues on the Amazon;Jules Verne;1881
L'ecole des Robinsons;Godfrey Morgan;Jules Verne;1882
Le Rayon vert;The Green Ray;Jules Verne;1882
Keraban-le-tetu;Keraban the Inflexible;Jules Verne;1883
L'etoile du sud;The Vanished Diamond;Jules Verne;1884
L'Archipel en feu;The Archipelago on Fire;Jules Verne;1884
Mathias Sandorf;Mathias Sandorf;Jules Verne;1885
Un Billet de loterie;The Lottery Ticket;Jules Verne;1886
Robur-le-Conquerant;Robur the Conqueror;Jules Verne;1886
Nord contre Sud;North Against South;Jules Verne;1887
Le Chemin de France;The Flight to France;Jules Verne;1887
Deux Ans de vacances;Two Years' Vacation;Jules Verne;1888
Famille-sans-nom;Family Without a Name;Jules Verne;1889
Sans dessus dessous;The Purchase of the North Pole;Jules Verne;1889
Cesar Cascabel;Cesar Cascabel;Jules Verne;1890
Mistress Branican;Mistress Branican;Jules Verne;1891
Le Chateau des Carpathes;Carpathian Castle;Jules Verne;1892
Claudius Bombarnac;Claudius Bombarnac;Jules Verne;1892
P'tit-Bonhomme;Foundling Mick;Jules Verne;1893
Mirifiques Aventures de Maitre Antifer;Captain Antifer;Jules Verne;1894
L'Ile a helice;Propeller Island;Jules Verne;1895
Face au drapeau;Facing the Flag;Jules Verne;1896
Clovis Dardentor;Clovis Dardentor;Jules Verne;1896
Le Sphinx des glaces;An Antarctic Mystery;Jules Verne;1897
Le Superbe Orenoque;The Mighty Orinoco;Jules Verne;1898
Le Testament d'un excentrique;The Will of an Eccentric;Jules Verne;1899
Seconde Patrie;The Castaways of the Flag;Jules Verne;1900
Le Village aerien;The Village in the Treetops;Jules Verne;1901
Les Histoires de Jean-Marie Cabidoulin;The Sea Serpent;Jules Verne;1901
Les Freres Kip;The Kip Brothers;Jules Verne;1902
Bourses de voyage;Travel Scholarships;Jules Verne;1903
Un Drame en Livonie;A Drama in Livonia;Jules Verne;1904
Maitre du monde;Master of the World;Jules Verne;1904
L'Invasion de la mer;Invasion of the Sea;Jules Verne;1905
